subject,relation,object,subject_type,object_type
RBCs,appear,hypochromic,NOUN_CHUNK,NOUN_CHUNK
Alcoholism,causes,macrocytosis,NOUN_CHUNK,NOUN_CHUNK
types,cause,macrocytosis,NOUN_CHUNK,NOUN_CHUNK
Drugs,inhibit,DNA replication,NOUN_CHUNK,NOUN_CHUNK
features,include,smooth red tongue,NOUN_CHUNK,NOUN_CHUNK
three,shared,the 1934 Nobel Prize,CARDINAL,WORK_OF_ART
person,have,pale,NOUN_CHUNK,NOUN_CHUNK
person,have,dimorphic smear,NOUN_CHUNK,NOUN_CHUNK
Heinz body anemia,has,causes,NOUN_CHUNK,NOUN_CHUNK
people,develop,state,NOUN_CHUNK,NOUN_CHUNK
Concerns,include,iron overload,NOUN_CHUNK,NOUN_CHUNK
iron overload,require,chelation therapy,NOUN_CHUNK,NOUN_CHUNK
Vitamin supplements,replace,specific deficiencies,NOUN_CHUNK,NOUN_CHUNK
diagnosis,mandates,search,NOUN_CHUNK,NOUN_CHUNK
body,absorb,6 mg iron,NOUN_CHUNK,NOUN_CHUNK
Transfusing,improve,survival,NOUN_CHUNK,NOUN_CHUNK
moderate degree,affected,approximately 610 million people,NOUN_CHUNK,NOUN_CHUNK
Mild iron deficiency anemia,affects,another 375 million,NOUN_CHUNK,CARDINAL
causes,include,anemia,NOUN_CHUNK,NOUN_CHUNK
recent data,considered,attitude,NOUN_CHUNK,NOUN_CHUNK
Major risk factors,include,cigarette smoking,NOUN_CHUNK,NOUN_CHUNK
Valvular heart diseaseMyocardial ischemia,result,from:.a reduction,NOUN_CHUNK,NOUN_CHUNK
Antacids,relieve,pain,NOUN_CHUNK,NOUN_CHUNK
combination,given,drop,NOUN_CHUNK,NOUN_CHUNK
Low dose aspirin,decreases,risk,NOUN_CHUNK,NOUN_CHUNK
evidence,support,use,NOUN_CHUNK,NOUN_CHUNK
diagnosis,require,catheterization,NOUN_CHUNK,NOUN_CHUNK
New techniques,include,positron emission tomography,NOUN_CHUNK,NOUN_CHUNK
Women,have,traditional risk factors,NOUN_CHUNK,NOUN_CHUNK
approaches,include,spinal cord stimulators,NOUN_CHUNK,NOUN_CHUNK
line options,include,antifibrinolytics tranexamic acid,NOUN_CHUNK,NOUN_CHUNK
Estrogens,cause,mild hypercoaguability,NOUN_CHUNK,NOUN_CHUNK
failure,attempted,defaecation,NOUN_CHUNK,NOUN_CHUNK
relevant anatomy,includes,rectum,NOUN_CHUNK,NOUN_CHUNK
internal anal sphincter,forms,walls,NOUN_CHUNK,NOUN_CHUNK
angle,prevents,movement,NOUN_CHUNK,NOUN_CHUNK
techniques,include,manometry,NOUN_CHUNK,NOUN_CHUNK
Treatments,include,retraining,NOUN_CHUNK,NOUN_CHUNK
Non - particulate antacids,increase,gastric,NOUN_CHUNK,NOUN_CHUNK
Effervescent antacids,contain,aspirin,NOUN_CHUNK,NOUN_CHUNK
Brand names,include,Alu-Cap,NOUN_CHUNK,PERSON
Non - particulate antacids,increase,gastric,NOUN_CHUNK,NOUN_CHUNK
Effervescent antacids,contain,aspirin,NOUN_CHUNK,NOUN_CHUNK
Brand names,include,Alu-Cap,NOUN_CHUNK,PERSON
Common effects,include,dry mouth,NOUN_CHUNK,NOUN_CHUNK
Options,include,pharmacotherapy,NOUN_CHUNK,NOUN_CHUNK
Antidepressants,provide,modest moderate reduction,NOUN_CHUNK,NOUN_CHUNK
TCAs antidepressants,shown,efficacy,NOUN_CHUNK,NOUN_CHUNK
Clinical trials,generated,negative results,NOUN_CHUNK,NOUN_CHUNK
tests,include,use,NOUN_CHUNK,NOUN_CHUNK
effects,continue,course,NOUN_CHUNK,NOUN_CHUNK
person,experience,headache,NOUN_CHUNK,NOUN_CHUNK
study,found,increase,NOUN_CHUNK,NOUN_CHUNK
neonate,experience,withdrawal syndrome,NOUN_CHUNK,NOUN_CHUNK
The National Institute for Health and Care Excellence,places,excess risk,ORG,NOUN_CHUNK
Antidepressant treatment,has,protective effect,NOUN_CHUNK,NOUN_CHUNK
overall sexual dysfunction,averaged,59.1%,NOUN_CHUNK,PERCENT
Moclobemide,cause,sexual dysfunction,NOUN_CHUNK,NOUN_CHUNK
symptoms,include,flu like symptoms,NOUN_CHUNK,NOUN_CHUNK
lithium,decreases,suicide risk,NOUN_CHUNK,NOUN_CHUNK
Irving Selikoff,began,clinical trials,PERSON,NOUN_CHUNK
Selikoff,noted,subtle general stimulation,ORG,NOUN_CHUNK
", Delay",reported,positive effect,PERSON,NOUN_CHUNK
Jackson Smith,described,psychiatric applications,PERSON,NOUN_CHUNK
Roche,put,significant marketing effort,ORG,NOUN_CHUNK
about 16.5%,took,antidepressants,PERCENT,NOUN_CHUNK
cross - cultural discrepancies,have,implications,NOUN_CHUNK,NOUN_CHUNK
presence,caused,concern,NOUN_CHUNK,NOUN_CHUNK
Histamine,promotes,angiogenesis,ORG,NOUN_CHUNK
H1-antihistamines,reduce,inflammation,NOUN_CHUNK,NOUN_CHUNK
common antihistamines,include,hydroxyzine,NOUN_CHUNK,NOUN_CHUNK
Second generation antihistamines,cross,blood,NOUN_CHUNK,NOUN_CHUNK
Characteristic symptoms,include,yellow discoloration,NOUN_CHUNK,NOUN_CHUNK
Reynolds pentad,includes,findings,NOUN_CHUNK,NOUN_CHUNK
combination,indicates,worsening,NOUN_CHUNK,NOUN_CHUNK
bile,reaches,duodenum,NOUN_CHUNK,NOUN_CHUNK
constitution,has,protective role,NOUN_CHUNK,NOUN_CHUNK
increased biliary pressure,decreases,production,NOUN_CHUNK,NOUN_CHUNK
Routine blood tests,show,features,NOUN_CHUNK,NOUN_CHUNK
Enterococcus,causes,10–20%,ORG,PERCENT
Cholangitis,requires,admission,NOUN_CHUNK,NOUN_CHUNK
Acute cholangitis,carries,significant risk,NOUN_CHUNK,NOUN_CHUNK
causes,include,heart failure,NOUN_CHUNK,NOUN_CHUNK
Symptoms,include,right lower abdominal pain,NOUN_CHUNK,NOUN_CHUNK
approximately 40%,have,typical symptoms,PERCENT,NOUN_CHUNK
Severe complications,include,widespread painful inflammation,NOUN_CHUNK,NOUN_CHUNK
Inflamed lymphoid tissue,cause,blockage,NOUN_CHUNK,NOUN_CHUNK
Surgery,decreases,risk,NOUN_CHUNK,NOUN_CHUNK
presentation,includes,abdominal pain,NOUN_CHUNK,NOUN_CHUNK
Studies,implicated,transition,NOUN_CHUNK,NOUN_CHUNK
studies,offer,evidence,NOUN_CHUNK,NOUN_CHUNK
Atypical histories,require,imaging,NOUN_CHUNK,NOUN_CHUNK
examiner,performs,firm swish,NOUN_CHUNK,NOUN_CHUNK
examiner,holds,person ankle,NOUN_CHUNK,NOUN_CHUNK
70–90 percent,have,elevated white blood cell,NOUN_CHUNK,NOUN_CHUNK
CT scan,has,sensitivity,NOUN_CHUNK,NOUN_CHUNK
Ultrasonography,had,overall sensitivity,ORG,NOUN_CHUNK
ultrasonography,reveal,abnormalities,NOUN_CHUNK,NOUN_CHUNK
abdominal pain,typhlitis in,new onset Crohn disease,NOUN_CHUNK,NOUN_CHUNK
Laparoscopic appendectomy,has,advantages,NOUN_CHUNK,NOUN_CHUNK
Laparoscopic appendectomy,has,advantages,NOUN_CHUNK,NOUN_CHUNK
appendectomy,require,diet changes,NOUN_CHUNK,NOUN_CHUNK
recovery,takes,three weeks,NOUN_CHUNK,DATE
prompt diagnosis,yield,best results,NOUN_CHUNK,NOUN_CHUNK
Medical management,treats,condition,NOUN_CHUNK,NOUN_CHUNK
Stump appendicitis,occur,months to years,NOUN_CHUNK,DATE
Signs,include,fever,NOUN_CHUNK,NOUN_CHUNK
Complications,include,lung abscess,NOUN_CHUNK,NOUN_CHUNK
Risk factors,include,decreased level,NOUN_CHUNK,NOUN_CHUNK
person,have,insidious course,NOUN_CHUNK,NOUN_CHUNK
Anatomical changes,disrupt,swallow mechanism,NOUN_CHUNK,NOUN_CHUNK
Hispanics,have,lower risk,NOUN_CHUNK,NOUN_CHUNK
Common aerobic bacteria,involved,include:.Streptococcus pneumoniae,NOUN_CHUNK,NOUN_CHUNK
Klebsiella,play,key role,PERSON,NOUN_CHUNK
patients,have,sudden arterial hypoxemia,NOUN_CHUNK,NOUN_CHUNK
Clinical symptoms,increase,suspicion,NOUN_CHUNK,NOUN_CHUNK
inflammation,cause,similar findings,NOUN_CHUNK,NOUN_CHUNK
administration,causes,suppression,NOUN_CHUNK,NOUN_CHUNK
stomach particles,enter,lungs,NOUN_CHUNK,NOUN_CHUNK
Currently recommended antibiotics,include,clindamycin,NOUN_CHUNK,NOUN_CHUNK
patient individual vigor,impact,development,NOUN_CHUNK,NOUN_CHUNK
Aging,increases,risk,NOUN_CHUNK,NOUN_CHUNK
Symptoms,include,episodes,NOUN_CHUNK,NOUN_CHUNK
Environmental factors,include,exposure,NOUN_CHUNK,NOUN_CHUNK
potential triggers,include,medications,NOUN_CHUNK,NOUN_CHUNK
358 million people,had,asthma,NOUN_CHUNK,NOUN_CHUNK
medications,increase,risk,NOUN_CHUNK,NOUN_CHUNK
majority,support,causal role,NOUN_CHUNK,NOUN_CHUNK
Common indoor allergens,include,dust mites,NOUN_CHUNK,NOUN_CHUNK
Certain viral respiratory infections,increase,risk,NOUN_CHUNK,NOUN_CHUNK
Certain infections,decrease,risk,NOUN_CHUNK,NOUN_CHUNK
affluent individuals,is,exposure,NOUN_CHUNK,NOUN_CHUNK
genetic variants,cause,asthma,NOUN_CHUNK,NOUN_CHUNK
Individuals,experience,symptoms,NOUN_CHUNK,NOUN_CHUNK
individuals,develop,severe exacerbation,NOUN_CHUNK,NOUN_CHUNK
viral bacterial infections,worsen,disease,NOUN_CHUNK,NOUN_CHUNK
Typical changes,include,increase,NOUN_CHUNK,NOUN_CHUNK
cell types,include,T lymphocytes,NOUN_CHUNK,NOUN_CHUNK
cells,defined by,role,NOUN_CHUNK,NOUN_CHUNK
supportive evidence,includes,≥20 % difference,NOUN_CHUNK,NOUN_CHUNK
asthma,affects,bronchi,NOUN_CHUNK,NOUN_CHUNK
Exercise,trigger,bronchoconstriction,NOUN_CHUNK,NOUN_CHUNK
Aspirin exacerbated respiratory disease,affects,up to 9%,NOUN_CHUNK,PERCENT
Alcohol,worsen,asthmatic symptoms,NOUN_CHUNK,NOUN_CHUNK
studies,found,improvement,NOUN_CHUNK,NOUN_CHUNK
Non - atopic asthma,makes up,between 10 and 33%,NOUN_CHUNK,PERCENT
conditions,cause,symptoms,NOUN_CHUNK,NOUN_CHUNK
causes,considered,lymph nodes,NOUN_CHUNK,NOUN_CHUNK
people,have,asthma,NOUN_CHUNK,NOUN_CHUNK
People,have,higher rates,NOUN_CHUNK,NOUN_CHUNK
Cognitive behavioral therapy,improve,quality,NOUN_CHUNK,NOUN_CHUNK
common triggers,include,allergens,NOUN_CHUNK,NOUN_CHUNK
Cigarette smoking,reduce,effectiveness,NOUN_CHUNK,NOUN_CHUNK
Yoga,provide,small improvements,NOUN_CHUNK,NOUN_CHUNK
person,used,SABA,NOUN_CHUNK,NOUN_CHUNK
Older selective adrenergic agonists,have,similar efficacy,NOUN_CHUNK,NOUN_CHUNK
Long acting beta adrenoceptor agonists,improve,asthma control,NOUN_CHUNK,NOUN_CHUNK
Intravenous administration,provide,improvement,NOUN_CHUNK,NOUN_CHUNK
Long term use,carries,minor risk,NOUN_CHUNK,NOUN_CHUNK
review,recommended,seven day course,NOUN_CHUNK,NOUN_CHUNK
Magnesium sulfate intravenous treatment,increases,bronchodilation,NOUN_CHUNK,NOUN_CHUNK
vitamin D supplements,is,symptoms,NOUN_CHUNK,NOUN_CHUNK
half of cases,carry,diagnosis,CARDINAL,NOUN_CHUNK
Asthma,has,negative effects,NOUN_CHUNK,NOUN_CHUNK
One thus,sees,lower rates,CARDINAL,NOUN_CHUNK
Low middle income countries,make up,more than 80%,NOUN_CHUNK,PERCENT
Asthma,affects,approximately 7%,ORG,PERCENT
Canada,have,rates,GPE,NOUN_CHUNK
Greek word,named,basis,NOUN_CHUNK,NOUN_CHUNK
Medical treatment,included,use,NOUN_CHUNK,NOUN_CHUNK
F. H. Bosworth,theorized,connection,PERSON,NOUN_CHUNK
Common initial symptoms,include,fatigue,NOUN_CHUNK,NOUN_CHUNK
Individuals,have,initial symptoms,NOUN_CHUNK,NOUN_CHUNK
Anomalous presentation,causes,cell mediated immune response,NOUN_CHUNK,NOUN_CHUNK
Autoimmune hepatitis,present,completely asymptomatic (12–35%,NOUN_CHUNK,PERCENT
people,have,laboratory abnormalities,NOUN_CHUNK,NOUN_CHUNK
inflammatory infiltrate,hepatitis,interface,NOUN_CHUNK,NOUN_CHUNK
Autoimmune hepatitis,has,incidence,NOUN_CHUNK,NOUN_CHUNK
patients,have,associated autoimmune disorder,NOUN_CHUNK,NOUN_CHUNK
disease,used,multiple different forms,NOUN_CHUNK,NOUN_CHUNK
Type gastritis,affects,body fundus,NOUN_CHUNK,NOUN_CHUNK
Type B gastritis,affects,antrum,NOUN_CHUNK,NOUN_CHUNK
Common effects,include,sleepiness,NOUN_CHUNK,NOUN_CHUNK
month supply,costs,the NHS,NOUN_CHUNK,ORG
adverse effects,include,drowsiness,NOUN_CHUNK,NOUN_CHUNK
little,preferred in,spinal fluid,NOUN_CHUNK,NOUN_CHUNK
Synonyms,include,chlorophenibut,NOUN_CHUNK,NOUN_CHUNK
Brand names,include,Beklo,NOUN_CHUNK,ORG
radiologist,takes,series,NOUN_CHUNK,NOUN_CHUNK
IV contrast injection,take,place,NOUN_CHUNK,NOUN_CHUNK
Enteroclysis,involves,continued infusion,NOUN_CHUNK,NOUN_CHUNK
procedure,take,6 hours,NOUN_CHUNK,TIME
infections,produce,patterns,NOUN_CHUNK,NOUN_CHUNK
Strongyloidiasis barium studies,show,intestinal wall oedema,NOUN_CHUNK,NOUN_CHUNK
linear,seen,defects,NOUN_CHUNK,NOUN_CHUNK
Typhlitis Barium studies,show,oedema,NOUN_CHUNK,NOUN_CHUNK
barium studies,show,pancolitis,NOUN_CHUNK,NOUN_CHUNK
Submucosal nodules,form,bull's eye target appearance,NOUN_CHUNK,NOUN_CHUNK
Radiographic examinations,involve,radiation exposure,NOUN_CHUNK,NOUN_CHUNK
Barium sulfate,cause,peritoneal irritation,NOUN_CHUNK,NOUN_CHUNK
micelles,have,diameter,NOUN_CHUNK,NOUN_CHUNK
Feces,lack,characteristic brown color,NOUN_CHUNK,NOUN_CHUNK
blockage,cause,cholecystitis,NOUN_CHUNK,NOUN_CHUNK
areas,include,Laos,NOUN_CHUNK,GPE
Measurement,shows,increased bile acid synthesis,NOUN_CHUNK,NOUN_CHUNK
biomarkers,give,similar diagnostic yields,NOUN_CHUNK,NOUN_CHUNK
proof,shown,clinical biochemical benefit,NOUN_CHUNK,NOUN_CHUNK
people,have,abnormal SeHCAT tests,NOUN_CHUNK,NOUN_CHUNK
difference,explain,increased risk,NOUN_CHUNK,NOUN_CHUNK
acidic stomach,cause,damage,NOUN_CHUNK,NOUN_CHUNK
2C.This mechanism,explains,selection,NOUN_CHUNK,NOUN_CHUNK
people,have,heartburn symptoms,NOUN_CHUNK,NOUN_CHUNK
presence,represents,marker,NOUN_CHUNK,NOUN_CHUNK
people,have,dysplasia,NOUN_CHUNK,NOUN_CHUNK
little direct evidence,recommended,practice,NOUN_CHUNK,NOUN_CHUNK
Treatment options,include,surgical removal,NOUN_CHUNK,NOUN_CHUNK
Current recommendations,include,routine endoscopy,NOUN_CHUNK,NOUN_CHUNK
overt malignancy,used in,surgery,PERSON,NOUN_CHUNK
operation,reduce,reflux,NOUN_CHUNK,NOUN_CHUNK
malignant sequela,has,mortality rate,NOUN_CHUNK,NOUN_CHUNK
Blockage,prevents,bile,NOUN_CHUNK,NOUN_CHUNK
condition,causes,severe itchiness,NOUN_CHUNK,NOUN_CHUNK
people,exists,advanced stage disease,NOUN_CHUNK,NOUN_CHUNK
backed bile,cause,pancreatic injury,NOUN_CHUNK,NOUN_CHUNK
bile,contrasted to,bile ducts,NOUN_CHUNK,NOUN_CHUNK
Arab physician Abulcasis,developed,one of the earliest diagnostic biopsies,NOUN_CHUNK,CARDINAL
term,reflects,Greek words,NOUN_CHUNK,NOUN_CHUNK
French dermatologist Ernest Besnier,introduced,word,PERSON,NOUN_CHUNK
variety,collect,tissue,NOUN_CHUNK,NOUN_CHUNK
liquid biopsy,provide,real time information,NOUN_CHUNK,NOUN_CHUNK
tests,analyze,fragments,NOUN_CHUNK,NOUN_CHUNK
test,produce,false positives,NOUN_CHUNK,NOUN_CHUNK
new cancer medications,block,specific molecular processes,NOUN_CHUNK,NOUN_CHUNK
tests,allow,easier targeting,NOUN_CHUNK,NOUN_CHUNK
X - ray,extended,range,NOUN_CHUNK,NOUN_CHUNK
immunofluorescence,plays,vital role,NOUN_CHUNK,NOUN_CHUNK
conditions,affect,body,NOUN_CHUNK,NOUN_CHUNK
website,gives,answers,NOUN_CHUNK,NOUN_CHUNK
duct,form,central axis,NOUN_CHUNK,NOUN_CHUNK
Pressure,give,rise,NOUN_CHUNK,NOUN_CHUNK
physical examination,reveal,mass,NOUN_CHUNK,NOUN_CHUNK
treatment,follows,basic principles,NOUN_CHUNK,NOUN_CHUNK
study,concluded,Metronidazole,NOUN_CHUNK,PERSON
rate,make,blood,NOUN_CHUNK,NOUN_CHUNK
broad categories,include,cancerous processes,NOUN_CHUNK,NOUN_CHUNK
list,include,diseases,NOUN_CHUNK,NOUN_CHUNK
bacterial infection,erode,wall,NOUN_CHUNK,NOUN_CHUNK
Shigella dysenteriae,see,dysentery,NOUN_CHUNK,NOUN_CHUNK
Treatment,includes,topical nitrates,NOUN_CHUNK,NOUN_CHUNK
internal hemorrhoids,cause,blood,NOUN_CHUNK,NOUN_CHUNK
Causes,include,adhesions,NOUN_CHUNK,NOUN_CHUNK
about 25%,require,surgery,PERCENT,NOUN_CHUNK
Complications,include,sepsis,NOUN_CHUNK,NOUN_CHUNK
biopsy,determine,nature,NOUN_CHUNK,NOUN_CHUNK
Radiological signs,include,bowel distension,NOUN_CHUNK,NOUN_CHUNK
Conservative treatment,involves,insertion,NOUN_CHUNK,NOUN_CHUNK
More than 90%,form,adhesions,PERCENT,NOUN_CHUNK
.Common consequences,include,small bowel obstruction,NOUN_CHUNK,NOUN_CHUNK
CT scan,show,esophageal wall edema,NOUN_CHUNK,NOUN_CHUNK
Endoscopy,has,role,NOUN_CHUNK,NOUN_CHUNK
Common misdiagnoses,include,myocardial infarction,NOUN_CHUNK,NOUN_CHUNK
